,harga,longitude,latitude,kecamatan,luas_tanah,luas_bangunan,kamar_tidur,kamar_mandi,jumlah_lantai,garasi,carport,kode_pos,taman,pagar,keamanan 24 jam,jarak_simpanglima,jarak_bandara
147,280000000,110.42865,-7.08514,Banyumanik,66,36.0,2,1,1,1,1,50266,no,no,no,10.521664593359683,12.962342732179462
148,280000000,110.30158,-7.00234,Ngaliyan,120,40.0,2,1,1,0,1,50185,no,no,no,13.474957943973742,8.883079355300815
149,280000000,110.4679176,-6.998720800000001,Pedurungan,77,36.0,1,1,1,1,0,50196,no,no,no,5.061164107774514,10.109211846085005
150,280000000,110.4679176,-6.998720800000001,Pedurungan,77,36.0,2,1,1,0,0,50196,no,no,no,5.061164107774514,10.109211846085005
151,280000000,110.47585,-7.0089,Pedurungan,60,36.0,2,1,1,1,1,50193,yes,no,no,6.204417785257691,11.243303578072164
152,280000000,110.47542084656,-6.9930971182961,Pedurungan,60,36.0,2,1,1,1,1,50196,no,no,no,5.810208499581885,10.814560848325089
153,280000000,110.47585,-7.0089,Pedurungan,60,36.0,2,1,1,0,1,50193,no,no,no,6.204417785257691,11.243303578072164
154,280000000,110.43616,-6.98345,Semarang Timur,60,36.0,2,1,1,0,1,50125,yes,yes,no,1.6410339436634809,6.3835788259335375
155,280000000,110.46427,-7.06513,Tembalang,65,36.0,2,1,1,0,1,50277,no,no,no,9.465292506239196,13.420383724511643
156,280000000,110.4641152,-7.0651842,Tembalang,60,50.0,2,1,2,1,0,50277,no,no,no,9.4623032249648,13.41256919927435
157,282000000,110.42781,-6.9958,Semarang Selatan,72,36.0,2,1,1,0,0,50241,no,no,no,0.8242231279549267,5.745976862427982
158,282600000,110.42865,-7.08514,Banyumanik,64,36.0,2,1,1,0,1,50266,no,no,no,10.521664593359683,12.962342732179462
159,282600000,110.42865,-7.08514,Banyumanik,64,36.0,2,1,1,1,0,50266,no,no,no,10.521664593359683,12.962342732179462
160,285000000,110.42169771423,-7.086244788,Banyumanik,66,36.0,2,2,1,0,1,50266,no,no,no,11.247557482048432,13.345637515569605
161,285000000,110.47585,-7.0089,Pedurungan,72,60.0,2,1,1,0,1,50193,no,no,no,6.204417785257691,11.243303578072164
162,285000000,110.47585,-7.0089,Pedurungan,72,60.0,2,1,1,0,1,50193,no,no,no,6.204417785257691,11.243303578072164
163,285000000,110.47585,-7.0089,Pedurungan,72,60.0,2,1,1,0,1,50193,no,no,no,6.204417785257691,11.243303578072164
164,285000000,110.47585,-7.0089,Pedurungan,72,60.0,2,1,1,0,1,50193,no,no,no,6.204417785257691,11.243303578072164
165,285000000,110.47585,-7.0089,Pedurungan,72,55.0,2,1,1,0,1,50193,no,no,no,6.204417785257691,11.243303578072164
166,285000000,110.47585,-7.0089,Pedurungan,72,60.0,2,1,1,0,1,50193,no,no,no,6.204417785257691,11.243303578072164
167,285000000,110.47585,-7.0089,Pedurungan,72,60.0,2,1,1,0,1,50193,no,no,no,6.204417785257691,11.243303578072164
168,285000000,110.47585,-7.0089,Pedurungan,72,50.0,2,1,1,0,1,50193,no,no,no,6.204417785257691,11.243303578072164
169,285000000,110.43616,-6.98345,Semarang Timur,72,60.0,2,1,1,1,1,50125,no,no,no,1.6410339436634809,6.3835788259335375
170,285000000,110.46427,-7.06513,Tembalang,78,38.0,2,1,2,0,1,50277,no,no,no,9.465292506239196,13.420383724511643
171,285000000,110.46427,-7.06513,Tembalang,72,38.0,0,0,1,0,0,50277,yes,no,no,9.465292506239196,13.420383724511643
172,286000000,110.4568984,-7.0417124,Tembalang,60,30.0,2,1,1,0,0,50272,no,no,no,6.8252297589496855,11.081740556609871
173,286000000,110.46427,-7.06513,Tembalang,60,30.0,2,1,1,1,0,50277,no,no,no,9.465292506239196,13.420383724511643
174,286000000,110.46427,-7.06513,Tembalang,60,30.0,2,1,1,0,1,50277,no,no,no,9.465292506239196,13.420383724511643
175,287000000,110.36603,-7.08624,Gunung Pati,174,90.0,2,2,1,1,1,50229,no,no,no,12.344350062543162,11.923145112478005
176,290000000,110.4202505,-7.0720442,Banyumanik,62,45.0,2,1,1,0,0,50268,no,no,no,9.059124253225463,11.258640342542995
177,290000000,110.30158,-7.00234,Ngaliyan,120,40.0,2,1,1,0,1,50185,no,no,no,13.474957943973742,8.883079355300815
178,290000000,110.30158,-7.00234,Ngaliyan,120,40.0,2,1,1,0,1,50185,no,no,no,13.474957943973742,8.883079355300815
179,290000000,110.47585,-7.0089,Pedurungan,70,45.0,2,1,1,0,1,50193,no,no,no,6.204417785257691,11.243303578072164
180,290000000,110.38487,-6.97892,Semarang Barat,60,60.0,2,1,1,0,0,50144,no,no,no,4.384759125376058,0.6988443482035506
181,295000000,110.43109,-7.01638,Candisari,67,36.0,2,1,1,0,1,50257,no,no,no,3.0356957346803766,7.1169352066365965
182,295000000,110.36603,-7.08624,Gunung Pati,120,45.0,2,1,1,0,1,50229,no,no,no,12.344350062543162,11.923145112478005
183,295000000,110.30158,-7.00234,Ngaliyan,120,32.0,0,1,1,0,1,50185,no,no,no,13.474957943973742,8.883079355300815
184,295000000,110.3018838,-7.0040762,Ngaliyan,120,36.0,2,1,1,0,0,50185,no,no,no,13.462110908827295,8.908448310659594
185,295000000,110.47585,-7.0089,Pedurungan,72,50.0,2,1,1,0,1,50193,no,no,no,6.204417785257691,11.243303578072164
186,295000000,110.47585,-7.0089,Pedurungan,72,50.0,2,1,1,0,0,50193,no,no,no,6.204417785257691,11.243303578072164
187,295000000,110.47585,-7.0089,Pedurungan,72,50.0,2,1,1,1,1,50193,no,no,no,6.204417785257691,11.243303578072164
188,295000000,110.4679176,-6.9987208,Pedurungan,100,36.0,2,1,1,1,0,50196,no,no,no,5.061164107774868,10.109211846085357
189,295000000,110.47585,-7.0089,Pedurungan,72,60.0,3,1,1,0,1,50193,no,no,no,6.204417785257691,11.243303578072164
190,295000000,110.42781,-6.9958,Semarang Selatan,67,36.0,2,1,1,0,1,50241,no,no,no,0.8242231279549267,5.745976862427982
191,295000000,110.41846,-6.97821,Semarang Tengah,72,72.0,2,1,1,1,1,50132,no,no,no,1.4117024569326748,4.411302393737038
192,295000000,110.43616,-6.98345,Semarang Timur,72,50.0,2,1,1,0,1,50125,no,no,no,1.6410339436634809,6.3835788259335375
193,295000000,110.46427,-7.06513,Tembalang,80,40.0,2,1,1,0,1,50277,yes,yes,no,9.465292506239196,13.420383724511643
194,295000000,110.46427,-7.06513,Tembalang,60,41.0,0,1,1,1,0,50277,yes,no,no,9.465292506239196,13.420383724511643
195,295000000,110.46427,-7.06513,Tembalang,72,45.0,2,1,1,0,1,50277,no,no,no,9.465292506239196,13.420383724511643
196,295000000,110.46427,-7.06513,Tembalang,72,38.0,2,1,1,0,2,50277,yes,no,yes,9.465292506239196,13.420383724511643
197,295000000,110.46427,-7.06513,Tembalang,72,38.0,2,1,1,0,1,50277,no,no,no,9.465292506239196,13.420383724511643
